IA_ang,IA_imag,IA_mag,IA_name,IA_real,IB_ang,IB_imag,IB_mag,IB_name,IB_real,IC_ang,IC_imag,IC_mag,IC_name,IC_real,VA_ang,VA_imag,VA_mag,VA_name,VA_real,VB_ang,VB_imag,VB_mag,VB_name,VB_real,VC_ang,VC_imag,VC_mag,VC_name,VC_real,capture_time,crc_ok,dfreq1,dfreq1_name,dst_ip,dst_mac,dst_port,fracsec,frame_number,frame_time,freq1,freq1_name,ip_flags,ip_fragmented,ip_length,ip_version,leap,packet_size,payload_size,ph_encoding,ph_format,pmu_flag,pmu_id,pmu_index,pmu_name,soc,src_ip,src_mac,src_port,stat_data_error,stat_data_sorting,stat_pmu_error,stat_time_sync,stream_id,tcp_ack,tcp_flags,tcp_seq,tcp_window,time,time_base,timequality_mult,timequality_ns,timequality_ver,timestamp,ttl
-1.735327959060669,-555.610413240144,563.216552734375,Ia,-92.24941177649575,2.45890736579895,352.86985173398915,559.3306884765625,Ib,-433.97429279727845,0.3661388158798218,203.10197906550465,567.3035888671875,Ic,529.7008099307251,-1.4099349975585938,-106343.75320611704,107734.640625,Va,17255.693107909996,2.7754290103912354,38493.62379943933,107513.265625,Vb,-100385.97119189038,0.6809903383255005,67967.12016390385,107959.2421875,Vc,83878.89216200185,1780857166.0798318,True,-0.017200171947479248,ROCOF,10.81.0.175,,52714,10600633,20,1780857166.079133,50.00257110595703,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656234,254,1780857175.600633,1000000,0,0,False,2026-06-07T18:32:55.600633,128
-1.7339261770248413,-555.7732681412856,563.2510986328125,Ia,-91.47608720657472,2.4599802494049072,352.4064290357579,559.33447265625,Ib,-434.3555698686395,0.36713728308677673,203.62156515589353,567.2779541015625,Ic,529.4738288273734,-1.4094021320343018,-106304.36240676764,107704.0625,Va,17307.443840570784,2.776082992553711,38426.48497360071,107509.125,Vb,-100407.25676383787,0.6816084384918213,68005.9039555785,107938.53125,Vc,83820.78236089101,1780857166.0996585,True,0.017878307029604912,ROCOF,10.81.0.175,,52714,10936161,22,1780857166.099113,50.00699996948242,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656310,254,1780857175.936161,1000000,0,0,False,2026-06-07T18:32:55.936161,128
-1.7337828874588013,-555.2551141521856,562.7127075195312,Ia,-91.30908723563557,2.460052251815796,352.2027752146249,559.0608520507812,Ib,-434.1684482166592,0.3675224483013153,203.6466880081156,566.7803344726562,Ic,528.9309728199524,-1.4085674285888672,-106337.70342490841,107752.5234375,Va,17403.99774377167,2.7768144607543945,38373.64020160735,107566.8984375,Vb,-100489.30976547218,0.682347297668457,68090.11534629906,107973.890625,Vc,83797.95492031504,1780857166.1195972,True,0.004726834129542112,ROCOF,10.81.0.175,,52714,11271688,24,1780857166.119111,50.00385284423828,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656386,254,1780857176.271688,1000000,0,0,False,2026-06-07T18:32:56.271688,128
-1.7331973314285278,-555.6300042292386,563.0385131835938,Ia,-91.0366175129997,2.4610891342163086,351.8456837037071,559.2091064453125,Ib,-434.6486392368389,0.36832743883132935,204.2016695116182,567.1393432617188,Ic,529.101798186324,-1.4079424142837524,-106337.13514163508,107762.9921875,Va,17472.154276815007,2.7776198387145996,38286.224110349955,107548.71875,Vb,-100503.19372108858,0.682975709438324,68126.90502986983,107948.765625,Vc,83735.66033066365,1780857166.1397703,True,0.009313265793025494,ROCOF,10.81.0.175,,52714,11607233,26,1780857166.139115,50.005950927734375,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656462,254,1780857176.607233,1000000,0,0,False,2026-06-07T18:32:56.607233,128
-1.7328134775161743,-556.0669220128023,563.4458618164062,Ia,-90.88903916997272,2.461301565170288,352.1075886343305,559.7722778320312,Ib,-435.16117595136853,0.3681170344352722,204.24534005944452,567.570068359375,Ic,529.5466207629574,-1.4072074890136719,-106303.21461313487,107741.65625,Va,17546.824624613804,2.778189182281494,38227.84182453849,107545.46875,Vb,-100521.93769568557,0.6839090585708618,68205.9925005481,107950.2890625,Vc,83673.21850922481,1780857166.1597579,True,-0.0018658010521903634,ROCOF,10.81.0.175,,52714,11942777,28,1780857166.159121,50.00347900390625,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656538,254,1780857176.942777,1000000,0,0,False,2026-06-07T18:32:56.942777,128
-1.7322899103164673,-556.2303962028797,563.5633544921875,Ia,-90.61678026985116,2.462167978286743,351.7362949012474,559.7816162109375,Ib,-435.47334786054586,0.3692658245563507,204.83512644179615,567.51904296875,Ic,529.2640504585016,-1.4063796997070312,-106282.34867857574,107735.265625,Va,17633.769269641525,2.779049873352051,38139.22852677069,107539.6015625,Vb,-100549.31701212104,0.6845352053642273,68261.67072762613,107955.5078125,Vc,83634.5381796773,1780857166.1796818,True,0.03904236853122711,ROCOF,10.81.0.175,,52714,12278338,30,1780857166.179113,50.006439208984375,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656614,254,1780857177.278338,1000000,0,0,False,2026-06-07T18:32:57.278338,128
-1.7311794757843018,-556.3094686020187,563.5418701171875,Ia,-89.99563611040611,2.4629170894622803,351.3148789941923,559.630126953125,Ib,-435.61879526814135,0.3701600432395935,205.3153880007872,567.53857421875,Ic,529.0988798668334,-1.405578851699829,-106204.32435453865,107670.515625,Va,17708.23038446584,2.7796711921691895,38047.180219044836,107456.09375,Vb,-100494.89619571889,0.6852276921272278,68287.54700195401,107904.90625,Vc,83548.06830368498,1780857166.2049448,True,-0.006280836649239063,ROCOF,10.81.0.175,,52714,12613916,37,1780857166.1991,50.0064582824707,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656690,254,1780857177.613916,1000000,0,0,False,2026-06-07T18:32:57.613916,128
-1.7303998470306396,-555.8103727296256,562.9654541015625,Ia,-89.47028600565217,2.4637935161590576,350.57187985986997,559.0543212890625,Ib,-435.4780031224209,0.37113243341445923,205.61431268535117,566.9444580078125,Ic,528.3453159484835,-1.4049043655395508,-106213.35303595147,107691.8046875,Va,17783.375205820386,2.7804319858551025,37976.71217549676,107473.0703125,Vb,-100539.69452278559,0.685929536819458,68351.9130154002,107913.9765625,Vc,83507.13936345182,1780857166.219491,True,0.02515813522040844,ROCOF,10.81.0.175,,52714,12949410,41,1780857166.219109,50.00632095336914,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656766,254,1780857177.94941,1000000,0,0,False,2026-06-07T18:32:57.949410,128
-1.7292686700820923,-556.1825609797717,563.240234375,Ia,-88.88487205811546,2.4649343490600586,350.2515719629719,559.3365478515625,Ib,-436.0977070565384,0.3721805512905121,206.27015491004707,567.2254638671875,Ic,528.3912849893828,-1.4040160179138184,-106211.76588796545,107706.2578125,Va,17880.121893676653,2.781280517578125,37899.82144176901,107496.9921875,Vb,-100594.26854469127,0.6866492629051208,68423.19569472561,107931.640625,Vc,83471.58402070391,1780857166.2397776,True,0.016433795914053917,ROCOF,10.81.0.175,,52714,13284971,43,1780857166.239104,50.007659912109375,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656842,254,1780857178.284971,1000000,0,0,False,2026-06-07T18:32:58.284971,128
-1.7288658618927002,-556.4181284876335,563.4425659179688,Ia,-88.69267939657686,2.465423107147217,350.192048008214,559.5820922851562,Ib,-436.46036190935587,0.3727824091911316,206.6691383032014,567.4478759765625,Ic,528.4741802806684,-1.4033514261245728,-106180.62447785586,107686.75,Va,17947.45416640077,2.7819738388061523,37829.262635387095,107494.703125,Vb,-100618.37848223749,0.687444806098938,68469.57563418722,107900.1171875,Vc,83392.76048645079,1780857166.259738,True,0.014529441483318806,ROCOF,10.81.0.175,,52714,13620498,45,1780857166.259111,50.00483703613281,FREQ,DF,False,116,4,24,120,76,polar,float,0,1,1,IEC61850-PMU,1780857165,10.81.0.175,,4712,False,0,False,True,1,3562525589,PA,12656918,254,1780857178.620498,1000000,0,0,False,2026-06-07T18:32:58.620498,128
